epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1125.81,1.56633,2.83134,1.80724,0.6282,0.54062,0.52932,0.30646,1.50277,1.85254,1.8695,0.00333197,0.00333197,0.00333197
2,2237.86,1.52801,2.04435,1.74828,0.63261,0.54385,0.56716,0.33808,1.56902,1.58111,1.86351,0.00653333,0.00653333,0.00653333
3,3345.79,1.57541,1.94589,1.78708,0.60636,0.53969,0.55957,0.31647,1.62396,1.63855,2.00669,0.00960269,0.00960269,0.00960269
4,4452.85,1.57943,1.87947,1.78767,0.64112,0.5766,0.59203,0.35207,1.52761,1.44683,1.8814,0.009406,0.009406,0.009406
5,5561.06,1.52015,1.73605,1.74378,0.68797,0.60423,0.64188,0.38964,1.46673,1.33189,1.80478,0.009208,0.009208,0.009208
6,6669.23,1.47725,1.62965,1.70431,0.69018,0.60817,0.64596,0.39482,1.42585,1.29113,1.77707,0.00901,0.00901,0.00901
7,7776.83,1.45452,1.5709,1.67899,0.71189,0.61858,0.6708,0.41767,1.41545,1.22819,1.75915,0.008812,0.008812,0.008812
8,8885.44,1.43363,1.52756,1.66371,0.70154,0.62009,0.67721,0.43435,1.37446,1.19545,1.71135,0.008614,0.008614,0.008614
9,9994.42,1.42037,1.49316,1.64322,0.71688,0.65418,0.69575,0.44255,1.3671,1.15518,1.70928,0.008416,0.008416,0.008416
10,11104.8,1.40812,1.46253,1.63191,0.74496,0.63817,0.70377,0.45565,1.33454,1.13947,1.67858,0.008218,0.008218,0.008218
11,12214.5,1.38853,1.43166,1.61786,0.71143,0.67412,0.7113,0.46582,1.30826,1.10652,1.65165,0.00802,0.00802,0.00802
12,13322.3,1.38131,1.41647,1.60915,0.69744,0.67563,0.7113,0.46876,1.30018,1.09137,1.6418,0.007822,0.007822,0.007822
13,14431.2,1.37143,1.39127,1.6,0.73762,0.67461,0.71979,0.47676,1.29439,1.083,1.64126,0.007624,0.007624,0.007624
14,15540.4,1.36393,1.37834,1.59333,0.73563,0.6765,0.72763,0.48615,1.26884,1.05383,1.61448,0.007426,0.007426,0.007426
15,16651.9,1.35518,1.35016,1.58798,0.72834,0.68878,0.73144,0.49092,1.25652,1.04705,1.61428,0.007228,0.007228,0.007228
16,17765.7,1.34674,1.33866,1.5774,0.72012,0.69919,0.73465,0.49808,1.25229,1.02849,1.59929,0.00703,0.00703,0.00703
17,18883.2,1.34031,1.32488,1.57259,0.73818,0.70836,0.74041,0.50333,1.24682,1.01843,1.59223,0.006832,0.006832,0.006832
18,19997.9,1.32477,1.29736,1.5594,0.74575,0.6984,0.74466,0.50972,1.22973,0.99503,1.57549,0.006634,0.006634,0.006634
19,21113.4,1.32438,1.28969,1.5554,0.73193,0.71519,0.74658,0.51163,1.22385,0.98298,1.57011,0.006436,0.006436,0.006436
20,22229.1,1.31772,1.27954,1.55334,0.75245,0.70446,0.74732,0.51251,1.21648,0.98216,1.56896,0.006238,0.006238,0.006238
21,23346.6,1.31622,1.27299,1.54958,0.765,0.69519,0.74653,0.51374,1.21452,0.97212,1.56422,0.00604,0.00604,0.00604
22,24457.3,1.30103,1.25095,1.53925,0.75637,0.70302,0.75058,0.51831,1.21184,0.96181,1.56065,0.005842,0.005842,0.005842
23,25572.6,1.29926,1.245,1.53496,0.76612,0.70513,0.75163,0.51847,1.20579,0.95683,1.55601,0.005644,0.005644,0.005644
24,26707.3,1.28979,1.22829,1.5307,0.7478,0.72413,0.75336,0.51945,1.19987,0.95571,1.55128,0.005446,0.005446,0.005446
25,27841.6,1.28674,1.22287,1.52626,0.76092,0.71181,0.75257,0.52176,1.19633,0.95228,1.54767,0.005248,0.005248,0.005248
26,28977.2,1.27475,1.21386,1.51853,0.74765,0.72691,0.75385,0.52297,1.19458,0.94736,1.5453,0.00505,0.00505,0.00505
27,30121.7,1.27613,1.20296,1.51753,0.74685,0.72687,0.7544,0.52562,1.19267,0.94461,1.5429,0.004852,0.004852,0.004852
28,31274.2,1.2708,1.19863,1.51325,0.74765,0.73092,0.75639,0.52839,1.1907,0.94084,1.54158,0.004654,0.004654,0.004654
29,32428,1.26711,1.18209,1.50616,0.74416,0.73516,0.75638,0.5286,1.18872,0.93744,1.53975,0.004456,0.004456,0.004456
30,33583.5,1.25756,1.17487,1.49965,0.74596,0.73694,0.75721,0.52959,1.18712,0.93523,1.53809,0.004258,0.004258,0.004258
31,34739.9,1.25758,1.16958,1.50092,0.74751,0.73724,0.759,0.52973,1.18511,0.93343,1.53604,0.00406,0.00406,0.00406
32,35898.4,1.25072,1.15709,1.49132,0.74935,0.73894,0.75949,0.53001,1.18371,0.93174,1.53444,0.003862,0.003862,0.003862
33,37057.9,1.24566,1.15081,1.49097,0.74765,0.73937,0.75973,0.53124,1.18104,0.92947,1.53249,0.003664,0.003664,0.003664
34,38218.8,1.23722,1.13867,1.48723,0.744,0.73747,0.76004,0.5322,1.17979,0.92718,1.53127,0.003466,0.003466,0.003466
35,39381.1,1.22591,1.1242,1.47867,0.75258,0.73444,0.76008,0.53207,1.17856,0.92471,1.52956,0.003268,0.003268,0.003268
36,40545.6,1.2235,1.11766,1.47416,0.75451,0.73346,0.76103,0.53315,1.1768,0.92301,1.52736,0.00307,0.00307,0.00307
37,41711.6,1.21975,1.10967,1.4655,0.75237,0.73906,0.76086,0.5337,1.17527,0.92132,1.52538,0.002872,0.002872,0.002872
38,42879.4,1.21761,1.10755,1.46569,0.75622,0.73724,0.76184,0.53437,1.17379,0.91975,1.52349,0.002674,0.002674,0.002674
39,44048.5,1.2076,1.09442,1.45775,0.75897,0.73541,0.76263,0.53507,1.17229,0.91715,1.52225,0.002476,0.002476,0.002476
40,45223.8,1.19877,1.0766,1.45193,0.75859,0.73693,0.7629,0.53577,1.17058,0.91482,1.52041,0.002278,0.002278,0.002278
41,46391.2,1.23446,1.0389,1.52797,0.76185,0.73678,0.76351,0.53638,1.16813,0.91165,1.51781,0.00208,0.00208,0.00208
42,47567.5,1.21593,1.01067,1.51204,0.76205,0.73614,0.76406,0.53723,1.1656,0.90945,1.51477,0.001882,0.001882,0.001882
43,48744.6,1.20243,0.99349,1.50133,0.76225,0.73737,0.76509,0.53803,1.16415,0.90666,1.51324,0.001684,0.001684,0.001684
44,49920.8,1.1894,0.9811,1.49301,0.76393,0.73742,0.7666,0.53924,1.16255,0.90383,1.51156,0.001486,0.001486,0.001486
45,51098.6,1.18179,0.9647,1.48149,0.76936,0.73697,0.76741,0.5407,1.16081,0.90098,1.50933,0.001288,0.001288,0.001288
46,52277,1.16986,0.95407,1.47808,0.76909,0.7396,0.76777,0.54143,1.15816,0.89721,1.50716,0.00109,0.00109,0.00109
47,53453.2,1.15986,0.94033,1.46627,0.76283,0.74445,0.76883,0.54244,1.15542,0.89468,1.50388,0.000892,0.000892,0.000892
48,54633,1.1548,0.93131,1.45931,0.75995,0.74626,0.76979,0.54422,1.15339,0.89185,1.50081,0.000694,0.000694,0.000694
49,55813,1.14259,0.91429,1.45102,0.76229,0.74706,0.77026,0.54477,1.15179,0.88873,1.49871,0.000496,0.000496,0.000496
50,56995.8,1.13683,0.90558,1.4446,0.75928,0.74907,0.77103,0.54598,1.14934,0.88568,1.49612,0.000298,0.000298,0.000298
